station_name,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,map_number
Paradise,0.061527571469592285,0.20755868146115944,0.01651617425534007,-0.01533726366166751,0.023754789150348163,-0.048775676258943274,0.10091954871147296,-0.0583666877598309,0.0023235135354594556,-0.08509785451618115,1
Clackamas Lake,-0.0015220724210053133,-0.062489836224266515,0.0126223979757565,-0.08704186689468947,-0.0018827170439422794,-0.1068695711182545,0.08116026524804743,-0.05739127149794871,0.027177300228123032,-0.04405191855475267,3
Annie Springs,0.08868083198151372,0.0074720498494156365,0.030928218790019623,0.02295722646704515,0.1339932687773226,-0.02888871009534666,-0.03160030524638607,-0.05110589231959954,-0.0396438531998095,-0.19778176717106383,7
Palisades Tahoe,0.10440230672681951,-0.03499248683729358,-0.005405773140226455,0.012827521614391331,0.019307770020476674,-0.03266913670674592,-0.07068134913820798,-0.0026233491847700366,-0.014627025819794165,-0.04071681705486457,8
Tipton,0.11060024895290763,-0.0462658993746323,0.013258007363644575,0.029586573954910156,0.07699074465394856,-0.03808810738778178,0.0271044354161241,-0.03613721298214198,0.05496877730155442,-0.005967074681331765,4
Disaster Peak,0.11022664593709058,-0.005924957086977876,-0.023767066561864017,0.006662110298380611,0.09315424429582975,-0.07538201820495084,-0.00865997381798849,-0.018549515712342424,-0.03729097449046562,-0.08017790196852224,9
Corral Canyon,0.017858631717816587,-0.05261145418233283,-0.08044945810493857,-0.0029294608635063307,0.044793793037017915,-0.09465348958111805,-0.054919737379600334,-0.06955034315662015,-0.033405964640649904,-0.10342285304927978,10
Sunset,0.0958379297931462,-0.02297703328529628,-0.016041881663285004,-0.03135176531905515,0.044954603026470405,-0.12306420735463497,-0.07964877736072827,-0.1850650528284994,0.017823705470538066,-0.19139714891194642,2
Galena Summit,-0.02087503562635583,-0.11925531009157686,-0.12067931321764139,-0.0884076811213863,-0.024668545407264167,-0.10886807707030875,-0.07955876421829258,-0.06382393590361315,-0.07525076723734986,-0.09690619248825397,5
Snake River Station,0.047606357335085406,-0.07001430479996049,-0.03116425367483685,-0.05414198252457236,0.05558525633216923,-0.033789288891392336,-0.05711139553715357,-0.04423812225360507,-0.04669221067353016,-0.03688709643527627,6
Trial Lake,0.022305860522341008,-0.07381330442896461,-0.01031823537447719,-0.043644597078160624,0.02636016406313219,-0.02476131345701961,-0.043397830286734024,-0.0453128144315408,-0.059742232192574476,-0.0908240774908097,11
Jackwhacker Gulch,-0.0007006844260387043,-0.017935172366256653,-0.061840784022473456,0.012551794582370521,-0.015101489417348221,-0.04812422511375684,-0.1151148311229925,-0.08772858291058411,-0.02562900381822733,-0.07341819020406405,12
Quemazon,,-0.023958556183789018,-0.05263121129535202,0.012828651454326555,0.012518594691592924,0.0006391688680612052,0.029538876353896147,-0.03166563296816587,0.02146385081741021,-0.0473191089485104,13
