station_name,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,map_number
Paradise,1.94564,2.0066,1.7399,1.49352,2.24282,2.34188,1.5748,1.59766,1.4478,1.67894,1
Clackamas Lake,0.18796,0.32004,0.19558,0.32258,0.2819399999999999,0.36576,0.2413,0.4165599999999999,0.2794,0.23876,3
Annie Springs,1.21158,1.4478,0.6578599999999999,1.0515599999999998,0.7365999999999999,0.8864599999999999,0.4826,1.22936,1.1379199999999998,1.5113,7
Palisades Tahoe,1.06426,2.01168,0.92964,1.60274,0.6730999999999999,0.6248400000000001,0.38608,1.84912,0.8458199999999999,1.04648,8
Tipton,0.40386,0.38354,0.2209799999999999,0.3937,0.2844799999999999,0.35306,0.13462,0.3479799999999999,0.2463799999999999,0.4952999999999999,4
Disaster Peak,0.0,0.0,0.00508,0.1651,0.0127,0.06858,0.0,0.381,0.1016,0.00254,9
Corral Canyon,0.6070599999999999,0.5003799999999999,0.3555999999999999,0.61722,0.3175,0.41402,0.32766,0.92456,0.54102,0.61214,10
Sunset,0.44958,,0.70104,0.40386,0.5689599999999999,0.508,0.4749799999999999,0.4749799999999999,0.35052,0.37846,2
Galena Summit,0.5841999999999999,0.8382,0.53848,0.5334,0.38354,0.37592,0.42672,0.64008,0.4699,0.5334,5
Snake River Station,0.4419599999999999,0.4826,0.4699,0.4927599999999999,0.4317999999999999,0.3937,0.23876,0.5054599999999999,0.4114799999999999,0.49022,6
Trial Lake,0.5715,1.16586,0.4317999999999999,0.7848599999999999,0.6273799999999999,0.4445,0.4241799999999999,0.90424,0.7162799999999999,0.6248400000000001,11
Jackwhacker Gulch,0.3175,0.3606799999999999,0.2286,0.4241799999999999,0.3454399999999999,0.26416,0.25908,0.29972,0.28956,0.2920999999999999,12
Quemazon,,0.00508,0.0,0.1143,0.00508,0.0,,0.19812,0.1523999999999999,0.00254,13
